"","UTLAname","mean_week_spend","se_week_spend","median_week_spend","se_median_week_spend","sample_tkit","upshift"
"1","Barking and Dagenham",23.3957181052489,0.534462126713257,22.2482014388489,0.669681044771711,141,1
"2","Barnet",23.6983644436222,0.866424421302439,22.0106761565836,1.08562979989196,67,1
"3","Barnsley",17.037885259682,1.04573897919623,17.370110330993,1.31031094093287,25,1
"4","Bath and North East Somerset",16.5920462505121,1.19461441019738,12.7882028469751,1.49685185597732,24,1
"5","Bedford",16.8544572004676,1.48034923583949,10.3688181056161,1.85487759250689,13,1
"6","Bexley",25.2990229871205,1.24122874971393,18.7202480916031,1.55525962339155,30,1
"7","Birmingham",25.2785492976858,0.342642044935715,19.6817820206842,0.429330482304451,693,1
"8","Blackburn with Darwen",26.1018109920324,1.88361273121388,19.2728141495287,2.36016675221099,32,1
"9","Blackpool",23.0891226778691,1.24633781859605,18.7343427949334,1.56166128670085,68,1
"10","Bolton",32.3313963290407,2.0363823886053,16.9618021547502,2.55158713292244,21,1
"11","Bournemouth, Christchurch and Poole",21.1396668268278,0.789369415014756,14.9818548387097,0.98907987701349,88,1
"12","Bracknell Forest",20.9070422535211,0,20.9070422535211,0,1,1
"13","Bradford",25.4714657913773,0.390016219775284,22.0695807314897,0.48869032337843,419,1
"14","Brent",24.7587405879248,0.864067523588297,20.755033557047,1.08267660705614,85,1
"15","Brighton and Hove",19.3219439852159,0.426830338387008,13.1177094379639,0.534818413998921,377,1
"16","Bristol",19.1595048458626,0.782229654076555,13.617901814107,0.980133756557924,104,1
"17","Bromley",23.2417267032009,0.999099032538775,19.6505162827641,1.25187108777109,62,1
"18","Buckinghamshire",21.7260762567862,0.616153940095696,16.7011701170117,0.772040886939907,103,1
"19","Bury",23.313639471061,1.03544078248735,18.3168805528134,1.29740730045665,83,1
"20","Calderdale",24.8563617522503,1.45912799916108,19.6661367249603,1.82828738294883,51,1
"21","Cambridgeshire",21.7147421414937,0.339329287700942,17.649209675488,0.425179597489281,394,1
"22","Camden",21.5388398331898,0.97428537597975,20.4978935614909,1.22077957610263,52,1
"23","Central Bedfordshire",25.3713211305069,0.976205090015588,21.0234262020847,1.22318497778953,60,1
"24","Cheshire East",29.3897330954303,2.52175645020427,14.7613365155131,3.15976083210595,15,1
"25","Cheshire West and Chester",15.0052348866347,1.23705602161198,9.81746031746032,1.55003119507981,15,1
"26","City of London",NA,0,NA,0,0,1
"27","Cornwall",18.7404016826098,0.346457573675396,14.1371428571429,0.434111339815271,453,1
"28","County Durham",22.2113509384533,0.863442733464398,19.983844911147,1.08189374503089,85,1
"29","Coventry",23.8137041362153,2.2936716869516,14.0396986724334,2.87397062375036,20,1
"30","Croydon",23.2707179848756,0.701850774234611,17.5881662273127,0.879419020115968,146,1
